Datetime,Date,Time,Open,High,Low,Close,Vol
2015-12-21 12:40:00,20151221,1240,10725,10730,10720,10720,7104
2015-12-21 12:45:00,20151221,1245,10725,10730,10720,10725,19703
2015-12-21 12:50:00,20151221,1250,10730,10730,10725,10730,25321
2015-12-21 12:55:00,20151221,1255,10730,10730,10725,10730,36559
2015-12-21 13:00:00,20151221,1300,10730,10735,10725,10730,13236
2015-12-21 13:05:00,20151221,1305,10730,10730,10715,10725,24440
2015-12-21 13:10:00,20151221,1310,10725,10730,10725,10730,4680
2015-12-21 13:15:00,20151221,1315,10725,10725,10720,10720,19384
2015-12-21 13:20:00,20151221,1320,10720,10725,10720,10720,14259
2015-12-21 13:25:00,20151221,1325,10720,10720,10715,10715,10729
2015-12-21 13:30:00,20151221,1330,10715,10720,10715,10720,910
2015-12-21 13:35:00,20151221,1335,10720,10720,10715,10715,2504
2015-12-21 13:40:00,20151221,1340,10710,10715,10710,10715,1774
2015-12-21 13:45:00,20151221,1345,10720,10720,10705,10705,1869
2015-12-21 13:50:00,20151221,1350,10710,10710,10705,10710,919
2015-12-21 13:55:00,20151221,1355,10715,10715,10705,10705,502
2015-12-21 14:00:00,20151221,1400,10705,10715,10705,10710,3527
2015-12-21 14:05:00,20151221,1405,10715,10720,10715,10720,1505
2015-12-21 14:10:00,20151221,1410,10720,10720,10715,10720,15145
2015-12-21 14:15:00,20151221,1415,10720,10725,10715,10720,2307
2015-12-21 14:20:00,20151221,1420,10715,10720,10715,10715,3832
2015-12-21 14:25:00,20151221,1425,10715,10720,10715,10720,1451
2015-12-21 14:30:00,20151221,1430,10720,10730,10720,10720,10377
2015-12-21 14:35:00,20151221,1435,10720,10725,10715,10715,16819
2015-12-21 14:40:00,20151221,1440,10715,10715,10700,10705,10857
2015-12-21 14:45:00,20151221,1445,10700,10705,10700,10700,12409
2015-12-21 14:50:00,20151221,1450,10700,10705,10695,10695,11829
2015-12-21 14:55:00,20151221,1450,10700,10705,10695,10695,11829
2015-12-21 15:00:00,20151221,1500,10720,10720,10720,10720,20916
2015-12-22 09:05:00,20151222,905,10740,10750,10710,10710,67281
2015-12-22 09:10:00,20151222,910,10710,10710,10630,10630,124080
2015-12-22 09:15:00,20151222,915,10675,10695,10655,10690,62732
2015-12-22 09:20:00,20151222,920,10690,10695,10675,10680,127757
2015-12-22 09:25:00,20151222,925,10680,10680,10660,10660,46740
2015-12-22 09:30:00,20151222,930,10660,10670,10655,10665,12544
2015-12-22 09:35:00,20151222,935,10665,10670,10665,10670,17165
2015-12-22 09:40:00,20151222,940,10665,10665,10580,10580,19144
2015-12-22 09:45:00,20151222,945,10580,10590,10560,10585,12396
2015-12-22 09:50:00,20151222,950,10585,10585,10575,10580,22127
2015-12-22 09:55:00,20151222,955,10585,10585,10580,10580,13393
2015-12-22 10:00:00,20151222,1000,10580,10610,10575,10605,27846
2015-12-22 10:05:00,20151222,1005,10605,10625,10605,10620,21403
2015-12-22 10:10:00,20151222,1010,10620,10625,10600,10600,17045
2015-12-22 10:15:00,20151222,1015,10605,10610,10590,10610,36396
2015-12-22 10:20:00,20151222,1020,10605,10610,10605,10605,63321
2015-12-22 10:25:00,20151222,1025,10605,10605,10580,10590,22981
2015-12-22 10:30:00,20151222,1030,10590,10590,10585,10585,18922
2015-12-22 10:35:00,20151222,1035,10585,10585,10570,10570,6178
2015-12-22 10:40:00,20151222,1040,10575,10575,10560,10565,7101
2015-12-22 10:45:00,20151222,1045,10565,10565,10555,10555,3388
2015-12-22 10:50:00,20151222,1050,10560,10565,10550,10555,25933
2015-12-22 10:55:00,20151222,1055,10555,10555,10545,10550,19857
2015-12-22 11:00:00,20151222,1100,10550,10550,10535,10535,33606
2015-12-22 11:05:00,20151222,1105,10535,10535,10515,10515,42692
2015-12-22 11:10:00,20151222,1110,10525,10530,10525,10530,8042
2015-12-22 11:15:00,20151222,1115,10530,10540,10530,10530,2817
2015-12-22 11:20:00,20151222,1120,10535,10540,10525,10540,5812
2015-12-22 11:25:00,20151222,1125,10540,10540,10525,10530,3878
2015-12-22 11:30:00,20151222,1130,10530,10530,10525,10525,1190
2015-12-22 11:35:00,20151222,1135,10530,10540,10530,10530,3656
2015-12-22 11:40:00,20151222,1140,10530,10540,10530,10535,4302
2015-12-22 11:45:00,20151222,1145,10535,10535,10520,10525,4794
2015-12-22 11:50:00,20151222,1150,10530,10535,10530,10530,480
2015-12-22 11:55:00,20151222,1155,10530,10530,10520,10525,4128
2015-12-22 12:00:00,20151222,1200,10525,10525,10515,10520,2645
2015-12-22 12:05:00,20151222,1205,10520,10530,10515,10525,4459
2015-12-22 12:10:00,20151222,1210,10525,10525,10515,10515,12595
2015-12-22 12:15:00,20151222,1215,10515,10515,10500,10500,17088
2015-12-22 12:20:00,20151222,1220,10500,10500,10495,10500,3728
2015-12-22 12:25:00,20151222,1225,10495,10495,10480,10480,3260
2015-12-22 12:30:00,20151222,1230,10480,10490,10480,10485,5619
2015-12-22 12:35:00,20151222,1235,10485,10495,10480,10480,5701
2015-12-22 12:40:00,20151222,1240,10480,10480,10470,10475,13581
2015-12-22 12:45:00,20151222,1245,10475,10475,10450,10455,29819
2015-12-22 12:50:00,20151222,1250,10460,10470,10460,10470,29916
2015-12-22 12:55:00,20151222,1255,10470,10470,10460,10460,34106
2015-12-22 13:00:00,20151222,1300,10460,10460,10450,10455,36527
2015-12-22 13:05:00,20151222,1305,10455,10460,10455,10460,22552
2015-12-22 13:10:00,20151222,1310,10460,10465,10455,10455,20742
2015-12-22 13:15:00,20151222,1315,10455,10465,10455,10460,17742
2015-12-22 13:20:00,20151222,1320,10460,10470,10460,10465,23660
2015-12-22 13:25:00,20151222,1325,10470,10480,10465,10475,19104
2015-12-22 13:30:00,20151222,1330,10475,10480,10470,10475,14309
2015-12-22 13:35:00,20151222,1335,10475,10475,10470,10470,4366
2015-12-22 13:40:00,20151222,1340,10470,10470,10465,10470,8457
2015-12-22 13:45:00,20151222,1345,10470,10470,10470,10470,4699
2015-12-22 13:50:00,20151222,1350,10470,10485,10470,10485,16749
2015-12-22 13:55:00,20151222,1355,10490,10490,10480,10490,17037
2015-12-22 14:00:00,20151222,1400,10490,10515,10485,10510,7148
2015-12-22 14:05:00,20151222,1405,10510,10530,10510,10525,8767
2015-12-22 14:10:00,20151222,1410,10525,10525,10515,10525,2721
